dataset,alpha,method,round,mean_percent,sample_sd_percent,n_seeds
organamnist,0.5,cwfedavg,30,54.43815629595933,15.365019808793493,3
organamnist,0.5,cwfedavg,45,57.01943977054657,11.005865179864546,3
organamnist,0.5,cwfedavg,60,57.68406033140571,10.596214294221186,3
organamnist,0.5,cwfedavg,75,62.04171759916901,6.9231888086758735,3
organamnist,0.5,cwfedavg,90,60.70618348094626,12.15083652325384,3
organamnist,0.5,cwfedavg,105,67.48122529742005,8.3259587898433,3
organamnist,0.5,cwfedavg,120,66.40381574483524,6.96417922262048,3
organamnist,0.5,cwfedavg,135,60.55509907205381,14.645004289425902,3
organamnist,0.5,cwfedavg,150,63.6325929265129,10.310749421711705,3
organamnist,0.5,cwfedavg,165,67.89886112598448,6.4042535432054555,3
organamnist,0.5,cwfedavg,180,66.21308980951187,7.633662782005494,3
organamnist,0.5,cwfedavg,195,80.09719652626731,6.4340170462377335,3
organamnist,0.5,cwfedavg,210,77.6466712114336,10.206237089260775,3
organamnist,0.5,cwfedavg,225,79.44139594116982,9.600134188950479,3
organamnist,0.5,cwfedavg,240,71.97837163932037,18.926651842159007,3
organamnist,0.5,cwfedavg,255,72.52927471377858,21.31548964729864,3
organamnist,0.5,cwfedavg,270,81.41561413748533,6.450597340846201,3
organamnist,0.5,cwfedavg,285,82.70230966762671,6.234189501147006,3
organamnist,0.5,cwfedavg,300,80.56749739148336,8.88546576137427,3
organamnist,0.5,cwt,1,23.155090830611595,4.395440101876571,3
organamnist,0.5,cwt,15,80.83992556823931,8.719851085838682,3
organamnist,0.5,cwt,30,65.69458881379178,35.887166462281606,3
organamnist,0.5,cwt,45,84.76500847976891,3.3570428423922785,3
organamnist,0.5,cwt,60,86.47545699273343,5.238106891059883,3
organamnist,0.5,cwt,75,87.28351503165109,3.744068027747502,3
organamnist,0.5,cwt,90,88.31910927044925,2.6448125205565582,3
organamnist,0.5,cwt,105,88.30471136472465,2.791357442939911,3
organamnist,0.5,cwt,120,85.72082421525515,3.80501836847719,3
organamnist,0.5,cwt,135,88.2922000439026,4.541296827800152,3
organamnist,0.5,cwt,150,87.0066911060363,2.930667726515727,3
organamnist,0.5,cwt,165,88.63802737577929,3.7832764403216403,3
organamnist,0.5,cwt,180,88.45728571064387,3.181557748306382,3
organamnist,0.5,cwt,195,88.36301015821617,2.8447298745894014,3
organamnist,0.5,cwt,210,88.9889395718315,2.874473184796079,3
organamnist,0.5,cwt,225,88.28354282758573,3.2884203808303205,3
organamnist,0.5,cwt,240,89.54224337573257,2.860782254394262,3
organamnist,0.5,cwt,255,89.23844191680877,2.940700642392839,3
organamnist,0.5,cwt,270,88.17532089957365,3.2830510488623696,3
